98;1025
17;523
86;904
18;1355
64;1079
58;1361
44;1472
90;1131
32;755
57;1092
59;1415
70;715
33;994
61;1301
68;1329
11;1104
46;959
90;1199
11;683
25;1077
100;701
17;949
27;575
60;704
81;1407
57;622
67;1144
63;845
95;830
16;913
22;1295
78;781
57;669
91;745
77;506
89;1156
95;919
60;1025
64;1212
41;1326
29;1481
14;848
24;844
82;1431
22;914
71;1224
35;668
68;1036
29;1291
81;1205
17;952
32;1009
63;591
19;1324
18;775
35;933
23;689
44;1173
100;913
95;1436
65;583
42;1434
36;769
43;1458
63;1438
15;1022
71;977
68;617
39;533
31;1248
50;1043
54;556
28;554
71;1347
32;1131
16;591
41;1393
15;674
62;564
74;987
83;1210
78;837
22;918
84;732
88;571
91;1129
74;641
48;1258
43;1282
68;1372
30;596
42;1197
64;704
42;1216
76;605
71;1340
75;717
22;693
67;1432
48;931
